Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
complex_20_node_structure,1.0,5,A,1,0.43365112168376624,0.2535748392686744,16.849543809890747
complex_20_node_structure,1.0,5,D,1,2.7569141486150444,7.384732400686389,16.849543809890747
complex_20_node_structure,1.0,5,E,1,0.5862850052761522,4.602523551553787,16.849543809890747
complex_20_node_structure,1.0,5,F,1,0.04657521306466934,1.1041172661708092,16.849543809890747
complex_20_node_structure,1.0,5,B,1,0.12180279627918798,0.9196570575515459,16.849543809890747
complex_20_node_structure,1.0,5,G,1,0.014736284225606841,0.8981676611351161,16.849543809890747
complex_20_node_structure,1.0,5,H,1,0.19627268579381968,1.2739452546824095,16.849543809890747
complex_20_node_structure,1.0,5,C,1,0.2536312810531311,0.15864844275711326,16.849543809890747
complex_20_node_structure,1.0,5,I,1,0.7347306106696926,3.8334166901783115,16.849543809890747
complex_20_node_structure,1.0,5,J,1,0.1428296753241662,1.848846932418734,16.849543809890747
complex_20_node_structure,1.0,5,K,1,1.116869219038919,1.3334723165799747,16.849543809890747
complex_20_node_structure,1.0,5,L,1,0.1776363321098694,4.416019587922751,16.849543809890747
complex_20_node_structure,1.0,5,M,1,0.04162990529827345,1.232282902748168,16.849543809890747
complex_20_node_structure,1.0,5,N,1,1.172229601260567,0.006226507894430543,16.849543809890747
complex_20_node_structure,1.0,5,O,1,0.017755719955028157,0.0017563575768746072,16.849543809890747
complex_20_node_structure,1.0,5,P,1,0.9735933072711442,3.9880435722523178,16.849543809890747
complex_20_node_structure,1.0,5,Q,1,1.8613613910360727,2.461884658047878,16.849543809890747
complex_20_node_structure,1.0,5,R,1,0.03754026400504927,5.6359026898324345,16.849543809890747
complex_20_node_structure,1.0,5,S,1,0.7202312445491109,5.029123017716582,16.849543809890747
complex_20_node_structure,1.0,5,T,1,0.03513043039896721,0.2760786323784275,16.849543809890747
complex_20_node_structure,1.0,5,A,2,0.41270037131043047,0.2535748392686744,10.660166025161743
complex_20_node_structure,1.0,5,D,2,1.4137290125717081,4.350324597396949,10.660166025161743
complex_20_node_structure,1.0,5,E,2,0.8957369199688705,5.346415046247974,10.660166025161743
complex_20_node_structure,1.0,5,F,2,8.961905951751243e-05,2.195795248416366,10.660166025161743
complex_20_node_structure,1.0,5,B,2,0.21566967968470502,0.9196570575515459,10.660166025161743
complex_20_node_structure,1.0,5,G,2,0.13639237849715433,0.1770156700269426,10.660166025161743
complex_20_node_structure,1.0,5,H,2,0.0498209013232819,0.09938106188948412,10.660166025161743
complex_20_node_structure,1.0,5,C,2,0.15745712149786867,0.15864844275711326,10.660166025161743
complex_20_node_structure,1.0,5,I,2,2.0363236466945036,6.341068779621294,10.660166025161743
complex_20_node_structure,1.0,5,J,2,0.6413622251770574,0.757729523057487,10.660166025161743
complex_20_node_structure,1.0,5,K,2,0.9812829364049843,4.696033739486139,10.660166025161743
complex_20_node_structure,1.0,5,L,2,0.061796797399914755,0.0064632491836243144,10.660166025161743
complex_20_node_structure,1.0,5,M,2,0.581810135149714,2.24424958685127,10.660166025161743
complex_20_node_structure,1.0,5,N,2,0.40989790340050236,3.6371129445931696,10.660166025161743
complex_20_node_structure,1.0,5,O,2,0.23572608135601925,2.9926580840204045,10.660166025161743
complex_20_node_structure,1.0,5,P,2,0.5423510628884344,2.2881388950509054,10.660166025161743
complex_20_node_structure,1.0,5,Q,2,0.10132661183085515,2.7188028836501674,10.660166025161743
complex_20_node_structure,1.0,5,R,2,0.11336256305537173,0.007502714902798302,10.660166025161743
complex_20_node_structure,1.0,5,S,2,0.34675582997412613,3.555392237323533,10.660166025161743
complex_20_node_structure,1.0,5,T,2,1.2589028700061964,1.9897231603626881,10.660166025161743
complex_20_node_structure,1.0,5,A,3,0.07343676835315319,0.000569555241828907,10.167202949523926
complex_20_node_structure,1.0,5,D,3,0.9461166038919665,0.9140053706247833,10.167202949523926
complex_20_node_structure,1.0,5,E,3,0.5683026239965825,2.3944899020859203,10.167202949523926
complex_20_node_structure,1.0,5,F,3,0.20991445207980575,2.156787303632057,10.167202949523926
complex_20_node_structure,1.0,5,B,3,0.1917821672346507,0.13523795682653578,10.167202949523926
complex_20_node_structure,1.0,5,G,3,2.2200472745284165,9.931476622044725,10.167202949523926
complex_20_node_structure,1.0,5,H,3,0.3054183938886166,1.2739452546824095,10.167202949523926
complex_20_node_structure,1.0,5,C,3,0.4740194235095799,0.721224671688935,10.167202949523926
complex_20_node_structure,1.0,5,I,3,1.052048124927754,3.8334166901783115,10.167202949523926
complex_20_node_structure,1.0,5,J,3,1.678542196198687,5.192562259725471,10.167202949523926
complex_20_node_structure,1.0,5,K,3,0.9687041688396694,4.910791802953099,10.167202949523926
complex_20_node_structure,1.0,5,L,3,0.8846923552543786,5.2984762071602445,10.167202949523926
complex_20_node_structure,1.0,5,M,3,0.1340042226040235,1.7191728572717948,10.167202949523926
complex_20_node_structure,1.0,5,N,3,0.21265269227188713,1.5629543930786485,10.167202949523926
complex_20_node_structure,1.0,5,O,3,0.013269582051156387,0.0017563575768746072,10.167202949523926
complex_20_node_structure,1.0,5,P,3,0.05832691206215035,0.5882342178494927,10.167202949523926
complex_20_node_structure,1.0,5,Q,3,1.2320176567970005,2.3556603195872836,10.167202949523926
complex_20_node_structure,1.0,5,R,3,1.775906571750464,2.8895326842332603,10.167202949523926
complex_20_node_structure,1.0,5,S,3,0.009021159453231828,1.767472337523522e-05,10.167202949523926
complex_20_node_structure,1.0,5,T,3,0.059685468329945646,0.04096761344695177,10.167202949523926
complex_20_node_structure,1.0,5,A,4,0.3286798319570865,0.2535748392686744,10.261687278747559
complex_20_node_structure,1.0,5,D,4,1.3366729261263877,0.19126966839433612,10.261687278747559
complex_20_node_structure,1.0,5,E,4,0.4650878774054085,2.8371842765076627,10.261687278747559
complex_20_node_structure,1.0,5,F,4,0.5556787853179789,2.195795248416366,10.261687278747559
complex_20_node_structure,1.0,5,B,4,0.19870282522624355,0.13523795682653578,10.261687278747559
complex_20_node_structure,1.0,5,G,4,0.05030933888892684,0.645894750500241,10.261687278747559
complex_20_node_structure,1.0,5,H,4,0.046118047639343185,1.2739452546824095,10.261687278747559
complex_20_node_structure,1.0,5,C,4,0.04310808718186714,0.7721784758300207,10.261687278747559
complex_20_node_structure,1.0,5,I,4,0.19037714887431476,0.05116337917802366,10.261687278747559
complex_20_node_structure,1.0,5,J,4,1.0698634209984819,2.7171212561324567,10.261687278747559
complex_20_node_structure,1.0,5,K,4,1.713723182497831,2.7206059411124404,10.261687278747559
complex_20_node_structure,1.0,5,L,4,0.47603277973170355,4.622930919282728,10.261687278747559
