Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
ritesh_s_structure,3.0,5,A,1,0.1804138153640073,0.6934930269129126,9.958377599716187
ritesh_s_structure,3.0,5,D,1,2.465161004149713,1.706058527273293,9.958377599716187
ritesh_s_structure,3.0,5,F,1,0.05378511930360709,0.0031568973868896302,9.958377599716187
ritesh_s_structure,3.0,5,B,1,0.040445593136755845,0.05389606716548344,9.958377599716187
ritesh_s_structure,3.0,5,C,1,2.4128305970502266,4.659518714139213,9.958377599716187
ritesh_s_structure,3.0,5,E,1,0.16062553845916633,0.020632722895087344,9.958377599716187
ritesh_s_structure,3.0,5,G,1,0.36576968052938624,0.26734205795544497,9.958377599716187
ritesh_s_structure,3.0,5,H,1,1.9040591604340613,2.5352343039413574,9.958377599716187
ritesh_s_structure,3.0,5,I,1,0.7632734444617183,2.2753048382342493,9.958377599716187
ritesh_s_structure,3.0,5,A,2,0.13119521847294938,0.6934930269129126,6.746846675872803
ritesh_s_structure,3.0,5,D,2,2.7944483475003343,4.264925923611269,6.746846675872803
ritesh_s_structure,3.0,5,F,2,0.16086302366396923,0.0006679711559547871,6.746846675872803
ritesh_s_structure,3.0,5,B,2,0.46240936002200134,1.6626610290882895,6.746846675872803
ritesh_s_structure,3.0,5,C,2,3.0171330398663567e-06,0.036920583813202984,6.746846675872803
ritesh_s_structure,3.0,5,E,2,0.11926922703923029,6.309552846452755,6.746846675872803
ritesh_s_structure,3.0,5,G,2,0.2638194215851859,0.20139596297872642,6.746846675872803
ritesh_s_structure,3.0,5,H,2,0.5176013234518028,0.02315569861329265,6.746846675872803
ritesh_s_structure,3.0,5,I,2,1.9784108377828513,1.6083058631176574,6.746846675872803
ritesh_s_structure,3.0,5,A,3,0.20368023653608863,0.6934930269129126,10.303345203399658
ritesh_s_structure,3.0,5,D,3,0.7573510742682192,1.627085640510341,10.303345203399658
ritesh_s_structure,3.0,5,F,3,0.026484517684039793,1.3364240669645038,10.303345203399658
ritesh_s_structure,3.0,5,B,3,0.3655089228774215,1.6626610290882895,10.303345203399658
ritesh_s_structure,3.0,5,C,3,0.27836653352114754,0.08584346052211411,10.303345203399658
ritesh_s_structure,3.0,5,E,3,0.6431483504220459,4.219996840543774,10.303345203399658
ritesh_s_structure,3.0,5,G,3,0.8327082571633382,2.2303279570277343,10.303345203399658
ritesh_s_structure,3.0,5,H,3,0.06837622452280921,0.3961223762199165,10.303345203399658
ritesh_s_structure,3.0,5,I,3,1.1804809495764537,4.179719409413702,10.303345203399658
ritesh_s_structure,3.0,5,A,4,0.2472738326093176,0.6934930269129126,9.251723051071167
ritesh_s_structure,3.0,5,D,4,0.24887641196777238,1.9727059014620842,9.251723051071167
ritesh_s_structure,3.0,5,F,4,1.4722073753246234,4.853619919345041,9.251723051071167
ritesh_s_structure,3.0,5,B,4,0.059197214889106675,0.05389606716548344,9.251723051071167
ritesh_s_structure,3.0,5,C,4,0.24124252159235934,0.08584346052211411,9.251723051071167
ritesh_s_structure,3.0,5,E,4,0.039044751250786436,0.022759205920331996,9.251723051071167
ritesh_s_structure,3.0,5,G,4,1.5163781025742005,0.3997534983684074,9.251723051071167
ritesh_s_structure,3.0,5,H,4,0.3697784723444395,0.21293301294457342,9.251723051071167
ritesh_s_structure,3.0,5,I,4,0.9159777583907813,2.272064035032081,9.251723051071167
ritesh_s_structure,3.0,5,A,5,0.21273120668342033,0.6934930269129126,9.140976667404175
ritesh_s_structure,3.0,5,D,5,1.5791808684574646,0.32599421982554616,9.140976667404175
ritesh_s_structure,3.0,5,F,5,0.3909317322245376,0.21500610622280306,9.140976667404175
ritesh_s_structure,3.0,5,B,5,3.8589672510728024,8.889078036126048,9.140976667404175
ritesh_s_structure,3.0,5,C,5,2.6251704759654455,4.659518714139213,9.140976667404175
ritesh_s_structure,3.0,5,E,5,0.013181441466619023,0.022759205920331996,9.140976667404175
ritesh_s_structure,3.0,5,G,5,0.8563159029112272,2.160138283005143,9.140976667404175
ritesh_s_structure,3.0,5,H,5,0.1571961006246152,0.7523202805314191,9.140976667404175
ritesh_s_structure,3.0,5,I,5,0.010188552820074491,1.3324900965969204,9.140976667404175
ritesh_s_structure,3.0,5,A,6,0.25847409607270305,0.17252523236454614,9.13890790939331
