Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
vusani_s_structure_1,3.0,5,A,1,0.9562069411837225,1.8829956212729342,9.784720420837402
vusani_s_structure_1,3.0,5,E,1,1.649946939707569,1.512285840903181,9.784720420837402
vusani_s_structure_1,3.0,5,B,1,0.23989002925074426,0.6858835600433777,9.784720420837402
vusani_s_structure_1,3.0,5,C,1,3.7794553700549205,6.1069993708591985,9.784720420837402
vusani_s_structure_1,3.0,5,D,1,4.6844710164712505e-05,0.0053829913170386,9.784720420837402
vusani_s_structure_1,3.0,5,F,1,0.4507185901564985,1.0825222774108259,9.784720420837402
vusani_s_structure_1,3.0,5,G,1,0.5526812914289426,3.623964365699265,9.784720420837402
vusani_s_structure_1,3.0,5,H,1,2.189312653240432,1.7877296600487307,9.784720420837402
vusani_s_structure_1,3.0,5,A,2,0.03754401043709689,0.038372827839336376,7.512722492218018
vusani_s_structure_1,3.0,5,E,2,0.5864680709159988,1.0645391415792722,7.512722492218018
vusani_s_structure_1,3.0,5,B,2,0.2856758359410021,0.6858835600433777,7.512722492218018
vusani_s_structure_1,3.0,5,C,2,0.10049380397456101,0.1367787620080372,7.512722492218018
vusani_s_structure_1,3.0,5,D,2,0.6158290864066659,2.684328480325995,7.512722492218018
vusani_s_structure_1,3.0,5,F,2,0.46818038917457644,1.0825222774108259,7.512722492218018
vusani_s_structure_1,3.0,5,G,2,0.09075684807404483,1.5239786469725347,7.512722492218018
vusani_s_structure_1,3.0,5,H,2,2.1376144594071538,1.462341798407051,7.512722492218018
vusani_s_structure_1,3.0,5,A,3,0.6901017729866248,1.8829956212729342,7.034783840179443
vusani_s_structure_1,3.0,5,E,3,0.3608379423716286,1.5357591712751346,7.034783840179443
vusani_s_structure_1,3.0,5,B,3,0.2574492673358853,0.6858835600433777,7.034783840179443
vusani_s_structure_1,3.0,5,C,3,0.18105972892929065,0.1367787620080372,7.034783840179443
vusani_s_structure_1,3.0,5,D,3,0.004032986675541243,0.0053829913170386,7.034783840179443
vusani_s_structure_1,3.0,5,F,3,0.03497848930014809,0.1359024822281384,7.034783840179443
vusani_s_structure_1,3.0,5,G,3,0.9809061840301124,4.03667726823836,7.034783840179443
vusani_s_structure_1,3.0,5,H,3,0.9285690630731509,2.024256181658164,7.034783840179443
