Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
chain_structure,4,5,1,A,1,1.0697303405082483,2.9035584141170796,1.660820722579956
chain_structure,4,5,1,B,1,0.16426181134671547,0.22941023856582018,1.660820722579956
chain_structure,4,5,1,C,1,0.5358299595673292,2.525069812033503,1.660820722579956
chain_structure,4,5,2,A,1,0.0006536742940576705,0.0017478322998434812,1.7062554359436035
chain_structure,4,5,2,B,1,0.03694971764031724,0.010242271292746727,1.7062554359436035
chain_structure,4,5,2,C,1,0.10369824762264268,0.18596176882808768,1.7062554359436035
chain_structure,4,5,1,A,2,0.7883443072914222,2.9035584141170796,1.661262035369873
chain_structure,4,5,1,B,2,0.14250846855565685,0.22941023856582018,1.661262035369873
chain_structure,4,5,1,C,2,1.288254009850742,4.68045564250783,1.661262035369873
chain_structure,4,5,2,A,2,0.3204022594330547,0.27114296622997547,1.7931241989135742
chain_structure,4,5,2,B,2,2.0743517896913497,4.251092419796591,1.7931241989135742
chain_structure,4,5,2,C,2,0.09701425818136228,0.2907598323595254,1.7931241989135742
chain_structure,4,5,1,A,3,3.6912496600758233,7.378215452094204,2.03000545501709
chain_structure,4,5,1,B,3,0.16009761187206084,0.5213956159254372,2.03000545501709
chain_structure,4,5,1,C,3,1.2667790630427578,4.68045564250783,2.03000545501709
chain_structure,4,5,2,A,3,3.5384338293932354,7.378215452094204,1.8941187858581543
chain_structure,4,5,2,B,3,0.15054423492745356,0.5213956159254372,1.8941187858581543
chain_structure,4,5,2,C,3,0.022303465473564127,0.03794289472688846,1.8941187858581543
chain_structure,4,5,1,A,4,0.8525000905956408,2.9035584141170796,1.9921374320983887
chain_structure,4,5,1,B,4,1.7728735999395329,4.251092419796591,1.9921374320983887
chain_structure,4,5,1,C,4,1.9516295335092702,5.450684573186513,1.9921374320983887
chain_structure,4,5,2,A,4,0.7532916099029657,2.9035584141170796,3.1170120239257812
chain_structure,4,5,2,B,4,1.8473315508459232,4.251092419796591,3.1170120239257812
chain_structure,4,5,2,C,4,1.5462380157913265,4.68045564250783,3.1170120239257812
chain_structure,4,5,1,A,5,0.049553933100721745,0.07755638135547005,1.6944787502288818
chain_structure,4,5,1,B,5,1.7378524177379038,5.896053226289244,1.6944787502288818
chain_structure,4,5,1,C,5,0.9442213946106242,5.450684573186513,1.6944787502288818
chain_structure,4,5,2,A,5,1.5204237168223333,2.9035584141170796,2.508140802383423
chain_structure,4,5,2,B,5,1.044039599344913,2.3498353128177425,2.508140802383423
chain_structure,4,5,2,C,5,0.3925523489509644,0.2675741530799744,2.508140802383423
chain_structure,4,5,1,A,6,0.11912374065824519,0.07755638135547005,1.0367019176483154
chain_structure,4,5,1,B,6,1.0343325674965491,2.386244017861014,1.0367019176483154
chain_structure,4,5,1,C,6,0.0012686447231098456,0.0022395560970000783,1.0367019176483154
chain_structure,4,5,2,A,6,0.009429219005020945,0.0017478322998434812,1.4720613956451416
chain_structure,4,5,2,B,6,0.8823402226669714,2.386244017861014,1.4720613956451416
chain_structure,4,5,2,C,6,0.0004423290781558221,0.03794289472688846,1.4720613956451416
chain_structure,4,5,1,A,7,0.758372766876344,2.9035584141170796,1.69938325881958
chain_structure,4,5,1,B,7,0.01894177401459958,0.010242271292746727,1.69938325881958
chain_structure,4,5,1,C,7,2.3003827920982207,5.450684573186513,1.69938325881958
chain_structure,4,5,2,A,7,1.2126291685992232,2.9035584141170796,2.572176218032837
chain_structure,4,5,2,B,7,2.0501873853090333,4.251092419796591,2.572176218032837
chain_structure,4,5,2,C,7,0.3779456085932994,0.2675741530799744,2.572176218032837
chain_structure,4,5,1,A,8,1.027671443659107,2.9035584141170796,1.2312757968902588
chain_structure,4,5,1,B,8,1.1893214688998806,4.251092419796591,1.2312757968902588
chain_structure,4,5,1,C,8,0.18183691825145515,0.2497224837650302,1.2312757968902588
chain_structure,4,5,2,A,8,1.3247855077707034,2.9035584141170796,1.8707129955291748
chain_structure,4,5,2,B,8,0.04906018859824182,0.019614149339413425,1.8707129955291748
chain_structure,4,5,2,C,8,2.7496005555608276,5.450684573186513,1.8707129955291748
chain_structure,4,5,1,A,9,2.9627749999957254,7.378215452094204,1.903489589691162
chain_structure,4,5,1,B,9,0.0908531696004492,0.5213956159254372,1.903489589691162
chain_structure,4,5,1,C,9,2.1946554825149525,5.450684573186513,1.903489589691162
chain_structure,4,5,2,A,9,2.966344418515228,7.378215452094204,2.159388542175293
chain_structure,4,5,2,B,9,0.18213059197063222,0.5213956159254372,2.159388542175293
chain_structure,4,5,2,C,9,0.017935926586802056,0.03794289472688846,2.159388542175293
chain_structure,4,5,1,A,10,1.0701414053489826,2.9035584141170796,1.6835384368896484
chain_structure,4,5,1,B,10,0.03830357261787347,0.010242271292746727,1.6835384368896484
chain_structure,4,5,1,C,10,0.5799604050564684,2.525069812033503,1.6835384368896484
chain_structure,4,5,2,A,10,1.5368967888768488,2.9035584141170796,2.298424005508423
chain_structure,4,5,2,B,10,0.12272796517519266,0.11864842906495876,2.298424005508423
chain_structure,4,5,2,C,10,1.3922857523398198,2.9101842773728444,2.298424005508423
chain_structure,4,5,1,A,11,0.06000928631895358,0.07755638135547005,1.5427677631378174
chain_structure,4,5,1,B,11,1.0428250829740258,3.2087244211073407,1.5427677631378174
chain_structure,4,5,1,C,11,0.5595936020239904,2.525069812033503,1.5427677631378174
chain_structure,4,5,2,A,11,0.003269981602726034,0.0017478322998434812,1.407850742340088
chain_structure,4,5,2,B,11,0.00535828714658145,0.2658189436090919,1.407850742340088
chain_structure,4,5,2,C,11,0.09881395678140817,0.18596176882808768,1.407850742340088
chain_structure,4,5,1,A,12,0.8399163580765882,2.9035584141170796,1.6200199127197266
chain_structure,4,5,1,B,12,0.0018851232575784575,0.010242271292746727,1.6200199127197266
chain_structure,4,5,1,C,12,2.5658877081915663,8.1010362589969,1.6200199127197266
chain_structure,4,5,2,A,12,1.2307284987502405,2.9035584141170796,1.9632303714752197
chain_structure,4,5,2,B,12,0.19569307602148597,0.11864842906495876,1.9632303714752197
chain_structure,4,5,2,C,12,1.4765626853004563,2.9101842773728444,1.9632303714752197
chain_structure,4,5,1,A,13,3.636283307701127,7.378215452094204,1.9831950664520264
chain_structure,4,5,1,B,13,0.8985959384784926,0.2658189436090919,1.9831950664520264
chain_structure,4,5,1,C,13,0.859454927493857,2.9739449923097867,1.9831950664520264
chain_structure,4,5,2,A,13,0.16285361026698905,0.27114296622997547,1.4498906135559082
chain_structure,4,5,2,B,13,0.005309917282566058,0.5213956159254372,1.4498906135559082
chain_structure,4,5,2,C,13,0.019642976415313637,0.0022395560970000783,1.4498906135559082
chain_structure,4,5,1,A,14,0.7722008311211191,2.9035584141170796,2.0791380405426025
chain_structure,4,5,1,B,14,3.96166843954072,3.172315716064069,2.0791380405426025
chain_structure,4,5,1,C,14,1.7072232750403653,0.0022395560970000783,2.0791380405426025
chain_structure,4,5,2,A,14,0.3654756747526162,0.27114296622997547,1.8978726863861084
chain_structure,4,5,2,B,14,2.0478101837512814,4.251092419796591,1.8978726863861084
chain_structure,4,5,2,C,14,0.5081963237691094,0.49720541143306035,1.8978726863861084
chain_structure,4,5,1,A,15,1.017237055302684,2.9035584141170796,1.6183669567108154
chain_structure,4,5,1,B,15,2.1023189048786977,4.251092419796591,1.6183669567108154
chain_structure,4,5,1,C,15,0.2595717601384464,0.2497224837650302,1.6183669567108154
chain_structure,4,5,2,A,15,0.8920769385811285,2.9035584141170796,2.412767171859741
chain_structure,4,5,2,B,15,0.11190144001182256,0.11864842906495876,2.412767171859741
chain_structure,4,5,2,C,15,2.18308560292796,5.450684573186513,2.412767171859741
chain_structure,4,5,1,A,16,3.617617130537675,7.378215452094204,1.6450490951538086
chain_structure,4,5,1,B,16,0.0015568782236208972,0.010242271292746727,1.6450490951538086
chain_structure,4,5,1,C,16,0.6415360662886527,2.525069812033503,1.6450490951538086
chain_structure,4,5,2,A,16,1.2687341001031425,2.9035584141170796,1.5242910385131836
chain_structure,4,5,2,B,16,0.05570416503587214,0.44857820583889363,1.5242910385131836
chain_structure,4,5,2,C,16,0.07916359335843563,0.18596176882808768,1.5242910385131836
chain_structure,4,5,1,A,17,0.006009666515071364,0.07755638135547005,1.2810816764831543
chain_structure,4,5,1,B,17,0.7246878018032079,2.386244017861014,1.2810816764831543
chain_structure,4,5,1,C,17,0.3158215828404359,0.2497224837650302,1.2810816764831543
chain_structure,4,5,2,A,17,0.0005778800903632215,0.0017478322998434812,2.4254417419433594
chain_structure,4,5,2,B,17,1.0822687941219191,3.2087244211073407,2.4254417419433594
chain_structure,4,5,2,C,17,2.327758320844202,5.450684573186513,2.4254417419433594
chain_structure,4,5,1,A,18,0.13147342319149158,0.07755638135547005,1.7549114227294922
chain_structure,4,5,1,B,18,0.8555388990211321,2.386244017861014,1.7549114227294922
chain_structure,4,5,1,C,18,3.1917188679183432,2.5888305269704452,1.7549114227294922
chain_structure,4,5,2,A,18,0.0037925019997502307,0.0017478322998434812,1.3894944190979004
chain_structure,4,5,2,B,18,0.004254142448005235,0.2658189436090919,1.3894944190979004
chain_structure,4,5,2,C,18,0.014992896473986175,0.0022395560970000783,1.3894944190979004
chain_structure,4,5,1,A,19,0.1845625258825581,0.07755638135547005,1.556250810623169
chain_structure,4,5,1,B,19,0.7656153261445932,2.386244017861014,1.556250810623169
chain_structure,4,5,1,C,19,1.7690454903431159,4.68045564250783,1.556250810623169
chain_structure,4,5,2,A,19,0.30876659635772497,0.27114296622997547,2.215710401535034
chain_structure,4,5,2,B,19,0.9312966648727975,2.386244017861014,2.215710401535034
chain_structure,4,5,2,C,19,0.012900460489456922,0.03794289472688846,2.215710401535034
chain_structure,4,5,1,A,20,0.0643196261512379,0.07755638135547005,1.231299638748169
chain_structure,4,5,1,B,20,0.8121547399306198,2.386244017861014,1.231299638748169
chain_structure,4,5,1,C,20,0.333960076450161,0.2497224837650302,1.231299638748169
chain_structure,4,5,2,A,20,0.05864345076207203,0.0017478322998434812,2.0007827281951904
chain_structure,4,5,2,B,20,0.030816551104554248,0.2658189436090919,2.0007827281951904
chain_structure,4,5,2,C,20,1.8432292084003872,4.68045564250783,2.0007827281951904
chain_structure,4,5,1,A,21,0.8988009369070777,2.9035584141170796,1.3165583610534668
chain_structure,4,5,1,B,21,0.8289567167082483,2.3498353128177425,1.3165583610534668
chain_structure,4,5,1,C,21,0.0008104828040588034,0.0022395560970000783,1.3165583610534668
chain_structure,4,5,2,A,21,0.00020586991093824066,0.0017478322998434812,1.120553731918335
chain_structure,4,5,2,B,21,1.9035749348309388,4.251092419796591,1.120553731918335
chain_structure,4,5,2,C,21,0.07637672944464516,0.08431425328599046,1.120553731918335
chain_structure,4,5,1,A,22,1.1100041672212881,2.9035584141170796,1.5468285083770752
chain_structure,4,5,1,B,22,0.4987807042313392,2.3498353128177425,1.5468285083770752
chain_structure,4,5,1,C,22,0.3140263013433906,0.2497224837650302,1.5468285083770752
chain_structure,4,5,2,A,22,0.008737125969656132,0.0017478322998434812,2.4177238941192627
chain_structure,4,5,2,B,22,0.06273401704882658,0.010242271292746727,2.4177238941192627
chain_structure,4,5,2,C,22,1.9242469042912136,4.68045564250783,2.4177238941192627
chain_structure,4,5,1,A,23,0.022543190303922336,0.07755638135547005,1.0296010971069336
chain_structure,4,5,1,B,23,1.690437797918743,4.251092419796591,1.0296010971069336
chain_structure,4,5,1,C,23,0.0005264349690958896,0.0022395560970000783,1.0296010971069336
chain_structure,4,5,2,A,23,1.2354395026530267,2.9035584141170796,3.0843677520751953
chain_structure,4,5,2,B,23,1.0412932077273502,2.3498353128177425,3.0843677520751953
chain_structure,4,5,2,C,23,2.8536921657265397,5.450684573186513,3.0843677520751953
chain_structure,4,5,1,A,24,0.8769020915878485,2.9035584141170796,1.768232822418213
chain_structure,4,5,1,B,24,0.28805068495331176,0.22941023856582018,1.768232822418213
chain_structure,4,5,1,C,24,0.46838419151405525,2.525069812033503,1.768232822418213
chain_structure,4,5,2,A,24,0.002039883018974519,0.0017478322998434812,2.1308109760284424
chain_structure,4,5,2,B,24,0.0395377149258227,0.010242271292746727,2.1308109760284424
chain_structure,4,5,2,C,24,2.549518526250723,8.1010362589969,2.1308109760284424
chain_structure,4,5,1,A,25,1.209615233855852,2.9035584141170796,1.5715346336364746
chain_structure,4,5,1,B,25,0.0032399671108458428,0.010242271292746727,1.5715346336364746
chain_structure,4,5,1,C,25,1.3139172323696715,4.68045564250783,1.5715346336364746
chain_structure,4,5,2,A,25,0.626683029685654,2.9035584141170796,2.148785352706909
chain_structure,4,5,2,B,25,1.628694094400204,4.251092419796591,2.148785352706909
