Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,1,A,1,0.02773857075529923,0.011405696722377498,8.132045030593872
dense_structure,2,5,1,D,1,1.2518695700442133,2.040880918521168,8.132045030593872
dense_structure,2,5,1,E,1,0.9099265097636503,2.682740138679242,8.132045030593872
dense_structure,2,5,1,F,1,0.8023592864641865,1.6518313348808238,8.132045030593872
dense_structure,2,5,1,B,1,0.16173128562452022,0.544101300835441,8.132045030593872
dense_structure,2,5,1,G,1,1.2374537306074689,0.4284353930899715,8.132045030593872
dense_structure,2,5,1,H,1,1.2025893319844507,0.02217909912864389,8.132045030593872
dense_structure,2,5,1,C,1,0.10223834841460629,0.3967071232026439,8.132045030593872
dense_structure,2,5,1,I,1,0.01770383399915909,0.06437714524267216,8.132045030593872
dense_structure,2,5,1,J,1,2.4548996516530557,2.9423962173957916,8.132045030593872
dense_structure,2,5,1,K,1,0.09103640027634533,0.10291133939756507,8.132045030593872
dense_structure,2,5,1,L,1,0.7765975692958904,0.5040327235723452,8.132045030593872
dense_structure,2,5,1,M,1,0.11570501660292176,0.3366748567634724,8.132045030593872
dense_structure,2,5,1,N,1,1.8551028802170522,0.9737510105014601,8.132045030593872
dense_structure,2,5,1,O,1,0.7414875101339077,1.7706651697398386,8.132045030593872
dense_structure,2,5,1,P,1,2.526789934415299,5.59090181632363,8.132045030593872
dense_structure,2,5,1,Q,1,2.2291886573851647,5.468604895763573,8.132045030593872
dense_structure,2,5,1,R,1,2.925476082713405,1.6701817130738614,8.132045030593872
dense_structure,2,5,1,S,1,1.4652284533392321,0.055924715443893186,8.132045030593872
dense_structure,2,5,1,T,1,2.2417247653808228,1.0188853029347742,8.132045030593872
dense_structure,2,5,1,U,1,1.199774478549656,1.0532667992530615,8.132045030593872
dense_structure,2,5,2,A,1,0.07297134041780565,0.01805105869775439,11.38909912109375
dense_structure,2,5,2,D,1,0.1392727055122494,0.13280205794109853,11.38909912109375
dense_structure,2,5,2,E,1,1.3287564459917904,2.682740138679242,11.38909912109375
dense_structure,2,5,2,F,1,0.8134254975506882,1.6518313348808238,11.38909912109375
dense_structure,2,5,2,B,1,0.22489221553890776,0.20209250940244844,11.38909912109375
dense_structure,2,5,2,G,1,0.2943994767280921,0.8529551136730269,11.38909912109375
dense_structure,2,5,2,H,1,0.006948141810446671,0.040992641037732556,11.38909912109375
dense_structure,2,5,2,C,1,0.19845133493659847,0.3967071232026439,11.38909912109375
dense_structure,2,5,2,I,1,1.472429376437592e-05,0.0002636746102597648,11.38909912109375
dense_structure,2,5,2,J,1,2.737896896149966,7.384565040885455,11.38909912109375
dense_structure,2,5,2,K,1,5.543424920806319,8.813784710724612,11.38909912109375
dense_structure,2,5,2,L,1,0.6816445797271649,0.2542214108919261,11.38909912109375
dense_structure,2,5,2,M,1,0.3076263654223139,0.25255331174338297,11.38909912109375
dense_structure,2,5,2,N,1,4.443949067339062,3.744769654339599,11.38909912109375
dense_structure,2,5,2,O,1,0.6406819471400691,1.7706651697398386,11.38909912109375
dense_structure,2,5,2,P,1,1.3663111091376077,3.9372549203987752,11.38909912109375
dense_structure,2,5,2,Q,1,1.6478494937140278,0.34785701179690626,11.38909912109375
dense_structure,2,5,2,R,1,1.5504798505937571,3.179560197507213,11.38909912109375
dense_structure,2,5,2,S,1,0.06921781393445928,0.0007394335616245883,11.38909912109375
dense_structure,2,5,2,T,1,2.21036309030279,0.05405002015711258,11.38909912109375
dense_structure,2,5,2,U,1,1.9698825497573966,3.1316098864079422,11.38909912109375
dense_structure,2,5,1,A,2,2.174596643378189,4.20696837418111,7.99351167678833
dense_structure,2,5,1,D,2,3.0474467640039933,4.563768997959479,7.99351167678833
dense_structure,2,5,1,E,2,0.17523511283723742,0.1462229496118861,7.99351167678833
dense_structure,2,5,1,F,2,0.7164459508330032,1.3117200451591535,7.99351167678833
dense_structure,2,5,1,B,2,0.34025081975548166,0.4418856477393065,7.99351167678833
dense_structure,2,5,1,G,2,2.063999941798434,0.5874543801253256,7.99351167678833
