Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
tree_structure,4,5,1,A,1,0.12938671083570136,0.44213438769948993,8.442217826843262
tree_structure,4,5,1,B,1,0.06939674200337936,0.07278055802049208,8.442217826843262
tree_structure,4,5,1,C,1,0.26910749053553196,0.767648690670055,8.442217826843262
tree_structure,4,5,1,D,1,2.167800235321966,5.4140123343929645,8.442217826843262
tree_structure,4,5,1,E,1,1.342664834369968,2.89834518084515,8.442217826843262
tree_structure,4,5,1,F,1,1.1396305100587596,3.1791505124299966,8.442217826843262
tree_structure,4,5,1,G,1,2.057278307850336,4.488492581071045,8.442217826843262
tree_structure,4,5,1,H,1,0.9328621444626862,2.217610544857017,8.442217826843262
tree_structure,4,5,1,I,1,2.1032125798219363,2.4002604544182433,8.442217826843262
tree_structure,4,5,1,J,1,0.7758067557705672,2.024031794966741,8.442217826843262
tree_structure,4,5,1,K,1,0.9493986119204518,1.8837039603107706,8.442217826843262
tree_structure,4,5,2,A,1,0.1288028080604931,0.44213438769948993,11.763952255249023
tree_structure,4,5,2,B,1,0.010903545514425614,0.0010762552912923808,11.763952255249023
tree_structure,4,5,2,C,1,0.20126660690477163,0.767648690670055,11.763952255249023
tree_structure,4,5,2,D,1,2.928071663004501,5.4140123343929645,11.763952255249023
tree_structure,4,5,2,E,1,1.7565362712781185,4.184062959170347,11.763952255249023
tree_structure,4,5,2,F,1,1.7234609000054182,3.1791505124299966,11.763952255249023
tree_structure,4,5,2,G,1,2.0490119187485876,4.488492581071045,11.763952255249023
tree_structure,4,5,2,H,1,0.9105662117251193,2.217610544857017,11.763952255249023
tree_structure,4,5,2,I,1,0.006430224029536219,0.0010508973461569697,11.763952255249023
tree_structure,4,5,2,J,1,0.9955169581035185,2.024031794966741,11.763952255249023
tree_structure,4,5,2,K,1,0.6506243639615363,1.8837039603107706,11.763952255249023
tree_structure,4,5,1,A,2,0.14091446391568063,0.44213438769948993,6.934061288833618
tree_structure,4,5,1,B,2,1.142426585932102,2.966954181123081,6.934061288833618
tree_structure,4,5,1,C,2,0.2642440120479052,0.767648690670055,6.934061288833618
tree_structure,4,5,1,D,2,0.08165068894600326,0.041489932392957694,6.934061288833618
tree_structure,4,5,1,E,2,1.2901994948272137,1.0095387941326626,6.934061288833618
tree_structure,4,5,1,F,2,1.4122494614837011,3.1791505124299966,6.934061288833618
tree_structure,4,5,1,G,2,0.010478688877797473,0.005083147232644185,6.934061288833618
tree_structure,4,5,1,H,2,1.7425062356906258,3.8724536413919375,6.934061288833618
tree_structure,4,5,1,I,2,0.0008875270957772637,0.0010508973461569697,6.934061288833618
tree_structure,4,5,1,J,2,0.16119245071026253,0.16401578942877826,6.934061288833618
tree_structure,4,5,1,K,2,0.5934765918533595,1.561300612895511,6.934061288833618
tree_structure,4,5,2,A,2,0.08692549795009147,0.44213438769948993,10.53031849861145
tree_structure,4,5,2,B,2,0.23284660847754787,0.2622628965685705,10.53031849861145
tree_structure,4,5,2,C,2,0.3663621826978485,0.767648690670055,10.53031849861145
tree_structure,4,5,2,D,2,0.33957560526425656,3.1954490689491646,10.53031849861145
