Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
chain_structure,2.0,1000,A,1,0.0002415546124861761,0.0001877848797995317,0.826042652130127
chain_structure,2.0,1000,B,1,0.01936967927720568,0.004601636842212308,0.826042652130127
chain_structure,2.0,1000,C,1,0.0012373891516397686,0.001167198494553965,0.826042652130127
chain_structure,2.0,1000,A,2,9.71611607599246e-06,0.0006111656500830086,1.3049747943878174
chain_structure,2.0,1000,B,2,0.005069343802224062,0.005508322673604275,1.3049747943878174
chain_structure,2.0,1000,C,2,0.00043040899597831866,0.0012746157800763791,1.3049747943878174
chain_structure,2.0,1000,A,3,0.0014412905075794416,3.13883553586837e-05,1.4271185398101807
chain_structure,2.0,1000,B,3,0.008481422432617642,0.0009741459994196296,1.4271185398101807
chain_structure,2.0,1000,C,3,0.002184476249527726,0.003717085122459683,1.4271185398101807
chain_structure,2.0,1000,A,4,0.0017204587932395377,0.001021861563055889,1.1154556274414062
chain_structure,2.0,1000,B,4,0.0019555338892753363,0.0006082471163583745,1.1154556274414062
chain_structure,2.0,1000,C,4,0.0024642213395856573,0.0004901562894545804,1.1154556274414062
chain_structure,2.0,1000,A,5,0.004279143881917802,2.1913864195206422e-07,0.9609475135803223
chain_structure,2.0,1000,B,5,0.0014985244951918174,0.0015405810719363667,0.9609475135803223
chain_structure,2.0,1000,C,5,0.004818896817877109,0.00038851266245723505,0.9609475135803223
chain_structure,2.0,1000,A,6,0.010933810420115334,0.0002769197704417456,1.250234842300415
chain_structure,2.0,1000,B,6,0.001136608813189466,0.001496426707319757,1.250234842300415
chain_structure,2.0,1000,C,6,0.0037568665201529877,0.0024613873793614006,1.250234842300415
chain_structure,2.0,1000,A,7,9.115904736886355e-05,0.0002769197704417456,0.7118914127349854
chain_structure,2.0,1000,B,7,0.001486208989796854,0.00041954995029528513,0.7118914127349854
chain_structure,2.0,1000,C,7,0.0036840114054466034,0.0010304930393940058,0.7118914127349854
chain_structure,2.0,1000,A,8,0.005523505213765087,2.4180206252652926e-06,1.00636625289917
chain_structure,2.0,1000,B,8,0.020504425859434027,0.002164573155969799,1.00636625289917
chain_structure,2.0,1000,C,8,0.0003731009914437729,0.00010803742476326618,1.00636625289917
chain_structure,2.0,1000,A,9,0.000373436585183606,2.1913864195206422e-07,0.691251277923584
chain_structure,2.0,1000,B,9,0.0007715366661541507,4.729732751533144e-05,0.691251277923584
chain_structure,2.0,1000,C,9,0.016276462038138456,0.000661321293351507,0.691251277923584
chain_structure,2.0,1000,A,10,0.00022811650091561497,2.1913864195206422e-07,1.0272037982940674
chain_structure,2.0,1000,B,10,0.00460371993668824,0.004675506390225542,1.0272037982940674
chain_structure,2.0,1000,C,10,0.0023310735021300983,2.0660142877942478e-05,1.0272037982940674
chain_structure,2.0,1000,A,11,7.56745115215382e-06,2.1913864195206422e-07,1.178999662399292
chain_structure,2.0,1000,B,11,0.002700597365979272,0.0003943733533920827,1.178999662399292
chain_structure,2.0,1000,C,11,0.003045321718103327,0.0009557174335916969,1.178999662399292
chain_structure,2.0,1000,A,12,0.003337594926800372,5.817102068993423e-05,0.8032357692718506
chain_structure,2.0,1000,B,12,0.006508106353489107,0.0030861961737647103,0.8032357692718506
chain_structure,2.0,1000,C,12,0.00039757409312142413,0.0010527710139910098,0.8032357692718506
chain_structure,2.0,1000,A,13,0.002442692495334249,0.00325416677465426,1.103743076324463
chain_structure,2.0,1000,B,13,0.0021052599260854895,0.0012940648667212808,1.103743076324463
chain_structure,2.0,1000,C,13,0.0009332052314548569,1.4532070617929299e-05,1.103743076324463
chain_structure,2.0,1000,A,14,0.0011562971258940735,0.0007151170012906251,1.0561552047729492
chain_structure,2.0,1000,B,14,0.003905344908917951,0.0008098218818078928,1.0561552047729492
chain_structure,2.0,1000,C,14,0.006748123576550559,0.00011849883604561368,1.0561552047729492
chain_structure,2.0,1000,A,15,5.098134303069702e-05,0.00015874468328722774,0.7260806560516357
chain_structure,2.0,1000,B,15,0.004547496796814423,0.0010143042891777464,0.7260806560516357
chain_structure,2.0,1000,C,15,0.001529248545331827,0.003926582284613582,0.7260806560516357
chain_structure,2.0,1000,A,16,8.778491516730613e-07,0.000515369884453748,1.0365283489227295
chain_structure,2.0,1000,B,16,0.0012231128565130395,0.00100661576671644,1.0365283489227295
chain_structure,2.0,1000,C,16,0.0005409363263986829,0.00018562882472162963,1.0365283489227295
chain_structure,2.0,1000,A,17,8.29635789938157e-05,0.0007785850396861901,0.7781715393066406
chain_structure,2.0,1000,B,17,0.0076083353855263235,0.0010366814682383194,0.7781715393066406
chain_structure,2.0,1000,C,17,0.003511332926554105,0.0005253002182400192,0.7781715393066406
chain_structure,2.0,1000,A,18,5.926842360717225e-05,0.000515369884453748,1.0164613723754883
chain_structure,2.0,1000,B,18,0.0035783683202104608,0.0003192835910449125,1.0164613723754883
chain_structure,2.0,1000,C,18,0.001259523162412149,0.0003971603988610216,1.0164613723754883
chain_structure,2.0,1000,A,19,0.0010616603370704157,0.0006111656500830086,1.0067591667175293
chain_structure,2.0,1000,B,19,0.0007712455656733279,0.0007788896869425303,1.0067591667175293
chain_structure,2.0,1000,C,19,0.0007917819620769859,0.0019206188109564676,1.0067591667175293
chain_structure,2.0,1000,A,20,0.001679056618081383,9.316017447064291e-05,0.8191149234771729
chain_structure,2.0,1000,B,20,0.0024764596798530956,3.140632289731684e-05,0.8191149234771729
chain_structure,2.0,1000,C,20,0.00774560427419984,0.004226848349645231,0.8191149234771729
chain_structure,2.0,1000,A,21,8.46041110166059e-06,0.0002137520163242139,0.9221158027648926
chain_structure,2.0,1000,B,21,0.0033263939380495993,0.0006682257647269213,0.9221158027648926
chain_structure,2.0,1000,C,21,0.0004022920312280725,0.00027015001892607493,0.9221158027648926
chain_structure,2.0,1000,A,22,0.0015727835967456506,5.817102068993423e-05,0.717597484588623
chain_structure,2.0,1000,B,22,0.0019704332728148703,0.0029412828356187148,0.717597484588623
chain_structure,2.0,1000,C,22,0.003750408703248608,0.0010865639352935774,0.717597484588623
chain_structure,2.0,1000,A,23,0.00012290411117546474,0.0007785850396861901,0.937108039855957
chain_structure,2.0,1000,B,23,0.0005655900774701275,0.0007997499528049736,0.937108039855957
chain_structure,2.0,1000,C,23,0.00032827311526073804,0.0010180201803541272,0.937108039855957
chain_structure,2.0,1000,A,24,0.0021781987419904683,0.0004758315427068425,1.1042585372924805
chain_structure,2.0,1000,B,24,0.002643847255004255,0.001416579225125115,1.1042585372924805
chain_structure,2.0,1000,C,24,0.0022896255990300356,0.0006175424941355229,1.1042585372924805
chain_structure,2.0,1000,A,25,0.0014951918175559603,0.001671202714848323,0.7663776874542236
chain_structure,2.0,1000,B,25,0.0005500451037827609,0.000775791028805815,0.7663776874542236
chain_structure,2.0,1000,C,25,0.006988509242792993,0.005938041306436343,0.7663776874542236
