Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
sparse_structure_2,2.0,1000,A,1,3.1707656102916097e-05,0.0006135622848376446,10.781938314437866
sparse_structure_2,2.0,1000,G,1,0.04763904866987069,0.03693716537412231,10.781938314437866
sparse_structure_2,2.0,1000,B,1,0.00260179115537355,0.00037447318350515395,10.781938314437866
sparse_structure_2,2.0,1000,C,1,0.0002811693783268971,0.0015927973878271523,10.781938314437866
sparse_structure_2,2.0,1000,D,1,0.0031170560962970537,0.000365436496855661,10.781938314437866
sparse_structure_2,2.0,1000,H,1,0.016849034428116028,0.026062756085417645,10.781938314437866
sparse_structure_2,2.0,1000,I,1,0.002709510609125437,0.00462806230569901,10.781938314437866
sparse_structure_2,2.0,1000,E,1,0.0016055872039445092,0.0007319711901582066,10.781938314437866
sparse_structure_2,2.0,1000,J,1,0.013198174945851932,0.006770339029492594,10.781938314437866
sparse_structure_2,2.0,1000,F,1,0.0005759546983153466,0.00012558794556873087,10.781938314437866
sparse_structure_2,2.0,1000,A,2,0.003026848971907352,4.074411415927546e-05,9.719074010848999
sparse_structure_2,2.0,1000,G,2,0.010461142764655079,0.010606017195344326,9.719074010848999
sparse_structure_2,2.0,1000,B,2,0.00040055387068687123,0.000697306343728837,9.719074010848999
sparse_structure_2,2.0,1000,C,2,0.0002691346459363052,3.139656690976777e-05,9.719074010848999
sparse_structure_2,2.0,1000,D,2,0.0001601856426136465,0.00011718187831287735,9.719074010848999
sparse_structure_2,2.0,1000,H,2,0.009845525473693526,0.009934354055066687,9.719074010848999
sparse_structure_2,2.0,1000,I,2,0.01093702906763745,0.0026897875904550047,9.719074010848999
sparse_structure_2,2.0,1000,E,2,0.005355274386504131,7.372963478052136e-05,9.719074010848999
sparse_structure_2,2.0,1000,J,2,0.016483762931267444,0.005244368786373766,9.719074010848999
sparse_structure_2,2.0,1000,F,2,0.0003830723598116422,0.00022818213411824467,9.719074010848999
sparse_structure_2,2.0,1000,A,3,0.002213213938756335,1.7047699396030742e-05,8.649873733520508
