Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
sparse_structure,3.0,1000,A,1,2.4472941744197157e-05,0.00016265908947371913,10.617607116699219
sparse_structure,3.0,1000,E,1,0.015222526935309968,0.007831789938310012,10.617607116699219
sparse_structure,3.0,1000,B,1,0.033551536809387314,0.00030381343418954196,10.617607116699219
sparse_structure,3.0,1000,C,1,2.4672707279837884e-05,0.0006953662317859145,10.617607116699219
sparse_structure,3.0,1000,D,1,0.001905334471778767,3.3706746724359096e-05,10.617607116699219
sparse_structure,3.0,1000,F,1,0.033535963108432695,0.00620085307758381,10.617607116699219
sparse_structure,3.0,1000,G,1,0.005612663967796423,0.001442532262944063,10.617607116699219
sparse_structure,3.0,1000,H,1,0.0016504163777174832,0.0023766279490749524,10.617607116699219
sparse_structure,3.0,1000,A,2,0.00022204161175132416,0.0009915610701422065,11.57831621170044
sparse_structure,3.0,1000,E,2,0.013546621033586234,0.011255728831484249,11.57831621170044
sparse_structure,3.0,1000,B,2,0.00024195676301009932,0.0012868157945714574,11.57831621170044
sparse_structure,3.0,1000,C,2,0.0003420878198621257,7.96048720914759e-05,11.57831621170044
sparse_structure,3.0,1000,D,2,0.0009581916026759531,3.3706746724359096e-05,11.57831621170044
sparse_structure,3.0,1000,F,2,0.007457397174607791,0.002942749337867458,11.57831621170044
sparse_structure,3.0,1000,G,2,0.006740441055019272,0.0004403208102711936,11.57831621170044
sparse_structure,3.0,1000,H,2,0.007201441128150712,0.0027170217668300604,11.57831621170044
sparse_structure,3.0,1000,A,3,0.00032652072520388854,0.0027019995818890544,11.284968852996826
sparse_structure,3.0,1000,E,3,0.0369726514278444,0.015543503608042006,11.284968852996826
sparse_structure,3.0,1000,B,3,0.0038016979903348486,0.001143646323588602,11.284968852996826
sparse_structure,3.0,1000,C,3,2.3362330371117694e-06,0.0005503372639972665,11.284968852996826
sparse_structure,3.0,1000,D,3,0.0003499691910566656,0.002696413634756506,11.284968852996826
sparse_structure,3.0,1000,F,3,0.027883207883542874,0.006831347327344139,11.284968852996826
sparse_structure,3.0,1000,G,3,0.004355224478862468,0.003419047943854482,11.284968852996826
