Structure,Experiment,Dataset Size,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
vusani_s_structure_2,1.0,1000,A,1,1.9660911278860977e-05,0.0012645316674016784,6.523868799209595
vusani_s_structure_2,1.0,1000,F,1,0.33273637155973584,0.1725441606310024,6.523868799209595
vusani_s_structure_2,1.0,1000,B,1,0.0035842596506937196,0.002240920937601575,6.523868799209595
vusani_s_structure_2,1.0,1000,C,1,0.0026903490205277087,0.0058872269003069945,6.523868799209595
vusani_s_structure_2,1.0,1000,D,1,0.009658501437363055,0.0028646716893353796,6.523868799209595
vusani_s_structure_2,1.0,1000,G,1,0.004689495839621378,0.025382973260105003,6.523868799209595
vusani_s_structure_2,1.0,1000,H,1,0.0012694314463790705,0.00039487463755704446,6.523868799209595
vusani_s_structure_2,1.0,1000,I,1,0.003530939123126689,0.0022687502196672244,6.523868799209595
vusani_s_structure_2,1.0,1000,J,1,0.047898560105483094,0.3201570304346355,6.523868799209595
vusani_s_structure_2,1.0,1000,A,2,0.0021696588044247686,0.00015912930359447707,6.280646324157715
vusani_s_structure_2,1.0,1000,F,2,0.17160148844369116,0.1237180283001931,6.280646324157715
vusani_s_structure_2,1.0,1000,B,2,0.0002396312777361979,0.00013384078398356457,6.280646324157715
vusani_s_structure_2,1.0,1000,C,2,0.0004045103714341319,0.0012511065922701005,6.280646324157715
vusani_s_structure_2,1.0,1000,D,2,0.003462120174696541,4.9834385350468885e-05,6.280646324157715
vusani_s_structure_2,1.0,1000,G,2,0.0025636621423452827,0.0005820510864836224,6.280646324157715
vusani_s_structure_2,1.0,1000,H,2,0.003702693586634569,0.00967710896961282,6.280646324157715
vusani_s_structure_2,1.0,1000,I,2,0.003232422129455694,0.004335989401604852,6.280646324157715
vusani_s_structure_2,1.0,1000,J,2,0.09560730010695923,0.32371710628947675,6.280646324157715
vusani_s_structure_2,1.0,1000,A,3,2.9783670473769626e-05,0.00018583066932324147,6.058549880981445
vusani_s_structure_2,1.0,1000,F,3,0.23387010716475531,0.6954649064216583,6.058549880981445
vusani_s_structure_2,1.0,1000,B,3,0.0006248504214259056,0.00046966244583555687,6.058549880981445
vusani_s_structure_2,1.0,1000,C,3,0.00010594715382847763,3.8762116381646364e-07,6.058549880981445
vusani_s_structure_2,1.0,1000,D,3,0.00048175920463017045,0.00024889195483556413,6.058549880981445
vusani_s_structure_2,1.0,1000,G,3,0.03226160922566433,0.0033557712068358458,6.058549880981445
vusani_s_structure_2,1.0,1000,H,3,0.005792978551183305,0.004716775101401166,6.058549880981445
vusani_s_structure_2,1.0,1000,I,3,0.002439857152634661,0.002546764157524979,6.058549880981445
vusani_s_structure_2,1.0,1000,J,3,0.053294316352211456,0.39639849300345736,6.058549880981445
vusani_s_structure_2,1.0,1000,A,4,0.004800877698857443,0.0005202732534140171,6.653907060623169
vusani_s_structure_2,1.0,1000,F,4,0.20880901367676147,0.03303597888878657,6.653907060623169
vusani_s_structure_2,1.0,1000,B,4,5.716448651114079e-05,0.000775780810205831,6.653907060623169
vusani_s_structure_2,1.0,1000,C,4,0.003975374096161182,0.0058872269003069945,6.653907060623169
vusani_s_structure_2,1.0,1000,D,4,0.0006914879918229096,0.000573368672320395,6.653907060623169
vusani_s_structure_2,1.0,1000,G,4,0.039061988919739866,0.010255592982591818,6.653907060623169
vusani_s_structure_2,1.0,1000,H,4,7.517998098460158e-05,0.001708271658955699,6.653907060623169
vusani_s_structure_2,1.0,1000,I,4,0.004715056887398778,0.0030986473403369283,6.653907060623169
vusani_s_structure_2,1.0,1000,J,4,0.13780542995069062,0.5866819146670325,6.653907060623169
vusani_s_structure_2,1.0,1000,A,5,0.0016712044703745049,1.0489216913286189e-05,7.129328727722168
vusani_s_structure_2,1.0,1000,F,5,0.31843929724578074,0.6908219355943239,7.129328727722168
vusani_s_structure_2,1.0,1000,B,5,0.0006156143605860784,0.00015808783182180686,7.129328727722168
vusani_s_structure_2,1.0,1000,C,5,0.0031012451248255547,0.0058872269003069945,7.129328727722168
